Parameter,Upperbound,Lowerbound,Unit
Electricity demand multiplier -- TX ,1.0423,0.9579,unitless (multiplier)
Natural gas price -- West_South_Central,1.7787,0.6729,$/MMBtu (multiplier)
Battery -- capcost,1.0855,0.5524,$/MW (multiplier)
Battery -- capcost_energy,1.4063,0.8124,$/MWh (multiplier)
Coal-IGCC -- capcost,1.0297,0.9709,$/MW (multiplier)
Coal-IGCC -- fom,1.0282,0.9724,$/MW-yr (multiplier)
Coal-IGCC -- vom,1.0282,0.9724,$/MWh (multiplier)
Coal-new -- capcost,1.0272,0.9738,$/MW (multiplier)
Coal-new -- fom,1.0231,0.9771,$/MW-yr (multiplier)
Coal-new -- vom,1.0154,0.9853,$/MWh (multiplier)
Coal-CCS -- capcost,1.0327,0.9673,$/MW (multiplier)
Coal-CCS -- fom,1.028,0.9721,$/MW-yr (multiplier)
Coal-CCS -- vom,1.0712,0.9288,$/MWh (multiplier)
Coal-CCS -- heatrate,1.059,0.9402,MMBtu/MWh (multiplier)
CSP -- capcost,1.5442,0.7963,$/kW (multiplier)
CSP -- fom,1.3452,0.8209,$/kW-yr (multiplier)
CSP -- vom,1.286,0.9731,$/MWh (multiplier)
Gas-CC -- capcost,1.0277,0.9724,$/MW (multiplier)
Gas-CC -- fom,1.0522,0.95,$/MW-yr (multiplier)
Gas-CC -- vom,1.0327,0.9677,$/MWh (multiplier)
Gas-CC -- heatrate,1.027,0.9731,MMBtu/MWh (multiplier)
Gas-ccs -- capcost,1.1253,0.8747,$/kW (multiplier)
Gas-ccs -- fom,1.1427,0.8572,$/kW-yr (multiplier)
Gas-ccs -- vom,1.1144,0.8858,$/MWh (multiplier)
Gas-ccs -- heatrate,1.045,0.955,MMBtu/MWh (multiplier)
Nuclear -- capcost,1.4511,0.7574,$/kW (multiplier)
Nuclear -- fom,1.1657,0.72,$/kW-yr (multiplier)
Nuclear -- vom,1.2143,0.6786,$/MWh (multiplier)
CF_mult (shared: Offshore wind fixed & floating),1.0529,0.9624,unitless (multiplier)
Offshore wind -- fixed -- Overnight Cap Cost,1.3223,0.7848,$/kW (multiplier)
Offshore wind -- fixed -- Fixed O&M,1.1302,0.9212,$/kW-yr (multiplier)
Offshore wind -- floating -- Overnight Cap Cost,1.4806,0.6924,$/kW (multiplier)
Offshore wind -- floating -- Fixed O&M,1.1175,0.9141,$/kW-yr (multiplier)
Onshore wind -- CF_mult,1.0634,0.9531,unitless (multiplier)
Onshore wind -- Overnight Cap Cost $/kW,1.1495,0.9384,$/kW (multiplier)
Onshore wind -- Fixed O&M $/(kW-yr),1.0752,0.8218,$/kW-yr (multiplier)
UPV -- capcost,1.1781,0.8916,$/kW (multiplier)
UPV -- fom,1.1332,0.9031,$/kW-yr (multiplier)
UPV -- cf_improvement,1.0458,0.939,unitless (multiplier)